_id,avg_salary
evansbr01,615108.33
evansja01,815615.0
evansje01,1118352.0
evansma01,1623447.67
evansmi01,106250.0
evansre01,2488124.46
evansty01,7015139.0
ewingda01,557104.5
ewingpa01,6955173.33
exumda01,4081356.25
eyengch01,1097520.0
ezelife01,2157140.33
farieke01,6065269.0
farmajo01,1438933.69
farmede01,179556.0
farmeji01,175000.0
farmeto01,343250.0
favervi01,2090000.0
favorde01,8394352.75
fazekni01,427163.0
feickja01,1649541.67
feitlda01,167175.0
feliccr01,3081075.33
felixca01,478692.0
feltora01,3982855.77
fergute01,1785000.0
fernaru01,1419130.75
ferredu01,854545.45
ferrero01,100000.0
ferreyo01,584892.67
ferryda01,3403307.69
fesenky01,879375.0
fieldke01,145000.0
fieldla01,3997159.8
finlemi01,7698713.28
finnedo01,928041.0
fishede01,3161902.85
fishma01,182500.0
fitchge01,359858.0
fizerma01,2545062.8
flemive01,798200.0
florelu01,385277.0
floydsl01,835000.0
flynnjo01,3192000.0
footeje01,225341.0
forbebr01,928041.0
forbega01,1157868.0
fordal02,477111.33
fordsh01,556933.33
fordsh02,116711.0
fordtj01,4837147.11
fortejo01,1009880.0
fortsco01,42009.0
fortsda01,4214524.0
fostegr01,634925.64
fosteje01,3851544.23
fostero01,131000.0
fotsian01,332817.0
fournev01,6759374.17
fowlktr01,410047.67
foxde01,4609200.0
foxri01,2430662.71
foyera01,3125127.36
foylead01,4224122.67
frahmri01,601261.0
francst01,8625094.25
frankja01,134619.6
frankte01,285333.33
fraziti01,864939.33
fredean01,86666.67
fredeji01,1236408.14
freeljo01,2975000.0
freewo01,516666.67
freijma01,175513.33
fryech01,5119217.46
fulleto02,995048.0
fultzma01,7026240.0
fundela01,3005000.0
gadzuda01,4178795.33
gaide01,92396.0
gaineco01,13000.0
gainere01,1454640.0
gainesu01,362713.5
gallida01,9350767.6
gallola01,3236872.0
gamblke01,1072727.27
garbajo01,4033333.33
garceru01,316969.0
garcial01,493488.5
garcifr01,3104404.0
gardnth01,406484.0
garinpa01,65984.5
garlawi01,282551.43
garnebi02,281500.0
garnech01,242000.0
garneke01,15630563.55
garnema01,287500.0
garrede01,1849642.86
garredi02,694423.5
garriki01,61147.0
garripa01,2278802.1
garrito01,213333.33
gasolma01,13082512.2
gasolpa01,11967633.0
gatlich01,2681711.55
gattike01,864875.0
gayru01,10579914.08
gazean01,405000.0
gbinimi01,575000.0
gearyre01,246125.0
geeal01,1261949.2
geigema01,4036727.27
gelabmi01,683766.0
georgde01,2605125.45
georgma01,350387.25
georgpa01,10171249.88
georgta01,414652.0
gervide01,155000.0
gervige01,818500.0
gibsoda01,3157167.71
gibsojo01,362716.0
gibsomi01,80000.0
gibsota01,5834330.11
giddejr01,993000.0
gildetr01,26917.0
gilesha01,1859400.0
gillebe01,100000.0
gilled01,519574.75
gilliar01,1756471.43
gillke01,2897746.33
gilmoar01,710666.67
ginobma01,7971225.94
giricgo01,3156666.67
gladnmi01,248263.0
glassge01,664500.0
gloucge01,175000.0
glovedi01,938119.5
glynian01,161061.0
gminsmi01,1186500.0
goberru01,5495617.4
godfrda01,100000.0
goldwan01,182258.0
gomesry01,2507504.44
gondrgr01,125000.0
goodedr01,4852212.29
goodrst01,235189.5
goodwar01,953503.83
gordoaa01,4504865.0
gordobe01,7692456.27
gordodr01,40000.0
gordoer01,9598489.1
gordola01,200000.0
gortama01,7411514.73
goudean01,337102.0
grahagr01,1120000.0
grahajo01,1467364.17
grahapa01,408333.33
grahast01,630379.0
grahatr01,643694.0
grandji01,115000.0
grandro01,152450.0
grangda01,6439162.73
grantbr01,7322803.47
grantga01,783151.46
grantgr01,240000.0
grantha01,2084352.27
grantho01,4247325.81
grantje01,1058668.5
grantje02,1643080.0
grantjo01,150000.0
grantpa01,765075.25
grayaa01,1306599.5
grayde01,119211.5
grayed01,832440.0
grayeje01,644000.0
grayjo01,101376.0
grayst01,278300.0
graysy01,160000.0
greenac01,2747885.07
greenda01,550000.0
greenda02,4743736.78
greende01,398762.0
greendo01,1286974.0
greendr01,8111863.0
greener01,235584.67
greenge01,1629367.33
